[16816:31256:0324/153620.792:WARNING:chrome_main_delegate.cc(740)] This is Chrome version 123.0.6312.59 (not a warning)
[16816:31256:0324/153620.871:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[16816:31256:0324/153620.871:INFO:policy_logger.cc(145)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[16816:31256:0324/153622.670:INFO:CONSOLE(1)] "ECHO [object Object]", source: https://betway.com/Resources/Global/js/respin.chunk.3755.134ffb3f.js (1)
[16816:31256:0324/153623.816:INFO:CONSOLE(124)] "Service Worker registration complete.", source: https://betway.com/en/sports/SpinSportBootstrap (124)
[16816:31256:0324/153623.994:INFO:CONSOLE(7)] "[LaunchDarkly] Be sure to call `identify` in the LaunchDarkly client: https://docs.launchdarkly.com/sdk/features/identify#javascript", source: https://betway.com/Resources/script/nolocal/Betway/desktop/en/shims_desktop?v=a88b1b02 (7)
[16816:31256:0324/153626.392:INFO:CONSOLE(0)] "[DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o", source: https://betway.com/en/sports (0)
[16816:30880:0324/153626.864:ERROR:cert_issuer_source_aia.cc(35)] Error parsing cert retrieved from AIA (as DER):
ERROR: Couldn't read tbsCertificate as SEQUENCE
ERROR: Failed parsing Certificate

[16816:31256:0324/153626.893:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports (0)
[16816:31256:0324/153626.903:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports (0)
[16816:31256:0324/153626.962:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports (0)
[16816:31256:0324/153628.880:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports (0)
[16816:31256:0324/153628.880:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports (0)
[16816:31256:0324/153633.792:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.792:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.813:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.813:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.813:INFO:CONSOLE(98)] "Unrecognized feature: 'attribution-reporting'.", source: https://connect.facebook.net/signals/config/587370088442787?v=2.9.150&r=stable&domain=betway.com&hme=8b8eb2472f555e54a8b57f2b720f9bd3b1bc6aed031525376dd772ba51107995&ex_m=63%2C107%2C95%2C99%2C54%2C3%2C89%2C62%2C14%2C87%2C80%2C45%2C47%2C153%2C156%2C167%2C163%2C164%2C166%2C26%2C90%2C46%2C69%2C165%2C148%2C151%2C160%2C161%2C168%2C116%2C13%2C44%2C172%2C171%2C118%2C16%2C30%2C33%2C1%2C37%2C58%2C59%2C60%2C64%2C84%2C15%2C12%2C86%2C83%2C82%2C96%2C98%2C32%2C97%2C27%2C23%2C149%2C152%2C125%2C25%2C9%2C10%2C11%2C5%2C6%2C22%2C19%2C20%2C50%2C55%2C57%2C67%2C91%2C24%2C68%2C8%2C7%2C72%2C42%2C18%2C93%2C92%2C17%2C74%2C79%2C41%2C40%2C78%2C34%2C36%2C77%2C49%2C75%2C29%2C38%2C66%2C0%2C85%2C4%2C81%2C73%2C76%2C2%2C31%2C56%2C35%2C94%2C39%2C71%2C61%2C100%2C53%2C52%2C28%2C88%2C51%2C48%2C43%2C70%2C65%2C21%2C101 (98)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.867:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.932:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.932:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.932:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.932:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.935:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.935:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.935:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.935:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.940:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.940:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.940:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.940:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.972:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.972:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.972:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.978:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.978:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153633.978:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.014:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.014:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.032:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.032:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.086:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.086:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.086:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.086:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.086:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.093:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.112:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.112:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.112:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.112:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.112:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.112:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.133:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.133:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.133:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.133:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.154:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.154:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.154:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.213:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.298:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.298:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.298:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.298:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.298:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.298:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.383:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.383:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
[16816:31256:0324/153634.383:INFO:CONSOLE(0)] "Third-party cookie will be blocked. Learn more in the Issues tab.", source: https://betway.com/en/sports/ctf/soccer (0)
